ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
2.92,8.63,-1.43,0.55,-0.33,-0.22,168576,5
2.88,8.6,-1.5,0.57,-0.37,-0.22,168577,5
2.84,8.59,-1.56,0.59,-0.4,-0.21,168578,5
2.79,8.59,-1.62,0.61,-0.42,-0.2,168579,5
2.74,8.6,-1.69,0.62,-0.45,-0.19,168580,5
2.7,8.61,-1.75,0.62,-0.46,-0.17,168581,5
2.65,8.62,-1.81,0.62,-0.48,-0.15,168582,5
2.6,8.61,-1.87,0.61,-0.48,-0.12,168583,5
2.56,8.61,-1.94,0.61,-0.49,-0.09,168584,5
2.5,8.61,-2,0.59,-0.49,-0.06,168585,5
2.45,8.62,-2.05,0.58,-0.48,-0.03,168586,5
2.4,8.63,-2.11,0.56,-0.48,0,168587,5
2.35,8.64,-2.15,0.55,-0.47,0.03,168588,5
2.3,8.65,-2.17,0.53,-0.46,0.06,168589,5
2.23,8.67,-2.19,0.52,-0.44,0.08,168590,6
2.18,8.69,-2.2,0.5,-0.41,0.1,168591,5
2.11,8.73,-2.22,0.48,-0.38,0.12,168592,6
2.05,8.76,-2.22,0.45,-0.35,0.13,168593,5
2,8.79,-2.23,0.42,-0.32,0.15,168594,5
1.95,8.83,-2.24,0.39,-0.28,0.16,168595,5
1.9,8.86,-2.25,0.35,-0.24,0.17,168596,6
1.87,8.88,-2.26,0.31,-0.2,0.17,168597,5
1.82,8.93,-2.28,0.27,-0.15,0.18,168598,6
1.77,8.96,-2.27,0.23,-0.11,0.19,168599,5
1.72,9.01,-2.26,0.18,-0.07,0.2,168600,5
1.67,9.07,-2.24,0.14,-0.03,0.2,168601,5
1.62,9.11,-2.22,0.1,0.02,0.2,168602,5
1.57,9.15,-2.21,0.06,0.06,0.2,168603,5
1.47,9.23,-2.18,0.01,0.1,0.21,168604,5
1.33,9.36,-2.09,-0.04,0.13,0.21,168605,5
1.19,9.52,-1.94,-0.1,0.17,0.22,168606,5
0.94,9.71,-1.72,-0.17,0.23,0.21,168607,5
0.62,9.93,-1.45,-0.25,0.29,0.21,168608,5
