ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
1.02,-9.05,0,0.06,-0.91,-1.27,279406,5
1.09,-9.05,-0.06,0.05,-0.89,-1.24,279407,5
1.15,-9.03,-0.1,0.04,-0.87,-1.21,279408,5
1.21,-9.03,-0.14,0.03,-0.85,-1.19,279409,4
1.26,-9.04,-0.19,0.01,-0.82,-1.15,279410,5
1.61,-9.07,-0.57,-0.04,-0.43,-0.7,279411,49
1.63,-9.08,-0.61,-0.04,-0.39,-0.64,279412,5
1.64,-9.11,-0.61,-0.04,-0.33,-0.58,279413,5
1.65,-9.12,-0.61,-0.04,-0.28,-0.52,279414,5
1.65,-9.15,-0.63,-0.04,-0.22,-0.45,279415,6
1.64,-9.18,-0.63,-0.04,-0.16,-0.39,279416,5
1.64,-9.2,-0.64,-0.04,-0.11,-0.33,279417,5
1.64,-9.22,-0.63,-0.04,-0.05,-0.27,279418,5
1.63,-9.25,-0.62,-0.04,0.01,-0.2,279419,5
1.61,-9.27,-0.6,-0.04,0.06,-0.15,279420,4
1.59,-9.29,-0.57,-0.04,0.12,-0.09,279421,5
1.57,-9.31,-0.53,-0.04,0.18,-0.03,279422,5
1.54,-9.35,-0.51,-0.04,0.24,0.04,279423,5
1.18,-9.74,-0.2,-0.05,0.74,0.5,279424,40
1.1,-9.82,-0.14,-0.06,0.81,0.56,279425,6
1.04,-9.88,-0.1,-0.07,0.88,0.61,279426,5
0.97,-9.94,-0.06,-0.08,0.94,0.65,279427,5
0.91,-9.98,0,-0.09,1,0.69,279428,5
0.84,-10.03,0.06,-0.1,1.06,0.72,279429,5
0.79,-10.07,0.1,-0.11,1.11,0.75,279430,4
0.71,-10.12,0.15,-0.12,1.17,0.79,279431,5
0.63,-10.17,0.21,-0.14,1.24,0.83,279432,6
0.55,-10.21,0.25,-0.15,1.29,0.87,279433,5
0.48,-10.25,0.3,-0.17,1.34,0.9,279434,5
0.43,-10.29,0.34,-0.18,1.39,0.93,279435,4
0.35,-10.35,0.38,-0.2,1.44,0.96,279436,5
0.28,-10.4,0.43,-0.22,1.48,0.99,279437,5
0.2,-10.45,0.47,-0.24,1.52,1.02,279438,5
0.14,-10.49,0.51,-0.26,1.55,1.03,279439,4
0.08,-10.53,0.54,-0.28,1.59,1.05,279440,5
0,-10.57,0.57,-0.3,1.62,1.07,279441,5
-0.09,-10.62,0.6,-0.33,1.66,1.09,279442,6
-0.17,-10.65,0.63,-0.35,1.69,1.1,279443,5
-0.27,-10.68,0.67,-0.38,1.72,1.11,279444,6
-0.34,-10.71,0.7,-0.4,1.75,1.12,279445,5
-0.41,-10.73,0.72,-0.43,1.77,1.12,279446,5
-0.48,-10.75,0.72,-0.45,1.78,1.13,279447,5
-0.54,-10.77,0.73,-0.48,1.8,1.13,279448,5
-0.61,-10.79,0.74,-0.5,1.81,1.13,279449,5
-0.68,-10.8,0.73,-0.53,1.81,1.13,279450,5
-0.75,-10.81,0.73,-0.55,1.82,1.12,279451,5
-0.82,-10.81,0.7,-0.58,1.81,1.11,279452,6
-0.88,-10.82,0.68,-0.61,1.81,1.1,279453,5
-0.96,-10.82,0.64,-0.64,1.8,1.08,279454,6
-1.02,-10.82,0.6,-0.66,1.79,1.06,279455,5
-1.08,-10.81,0.57,-0.68,1.78,1.04,279456,5
-1.14,-10.8,0.53,-0.7,1.76,1.01,279457,5
-1.18,-10.78,0.49,-0.72,1.75,0.98,279458,5
-1.23,-10.76,0.45,-0.75,1.73,0.96,279459,5
-1.28,-10.72,0.39,-0.77,1.7,0.92,279460,6
-1.31,-10.69,0.34,-0.79,1.67,0.89,279461,5
-1.32,-10.66,0.31,-0.8,1.65,0.87,279462,4
-1.35,-10.63,0.24,-0.81,1.62,0.84,279463,4
-1.37,-10.58,0.16,-0.83,1.59,0.82,279464,5
-1.39,-10.54,0.11,-0.84,1.56,0.79,279465,4
-1.42,-10.49,0.05,-0.85,1.52,0.76,279466,5
-1.45,-10.45,-0.02,-0.86,1.48,0.73,279467,5
-1.46,-10.4,-0.1,-0.87,1.44,0.69,279468,5
-1.47,-10.35,-0.17,-0.88,1.4,0.67,279469,5
-1.49,-10.3,-0.24,-0.88,1.36,0.63,279470,4
-1.49,-10.25,-0.29,-0.89,1.32,0.6,279471,5
-1.49,-10.18,-0.35,-0.89,1.27,0.57,279472,5
-1.49,-10.11,-0.43,-0.89,1.23,0.53,279473,5
-1.49,-10.05,-0.51,-0.89,1.18,0.5,279474,5
-1.49,-9.98,-0.6,-0.88,1.13,0.46,279475,5
-1.48,-9.91,-0.68,-0.88,1.08,0.43,279476,5
-1.43,-9.49,-1.16,-0.8,0.77,0.23,279477,31
-1.41,-9.42,-1.24,-0.78,0.72,0.21,279478,5
-1.39,-9.34,-1.33,-0.75,0.66,0.17,279479,6
-1.38,-9.28,-1.41,-0.73,0.61,0.15,279480,5
-1.36,-9.22,-1.49,-0.71,0.56,0.12,279481,5
-1.34,-9.17,-1.57,-0.69,0.52,0.1,279482,5
-1.31,-9.1,-1.64,-0.67,0.47,0.08,279483,5
-1.29,-9.05,-1.72,-0.64,0.43,0.05,279484,5
-1.27,-9,-1.79,-0.61,0.38,0.03,279485,5
-1.25,-8.96,-1.86,-0.59,0.34,0,279486,5
-1.22,-8.91,-1.92,-0.56,0.3,-0.02,279487,5
-1.18,-8.86,-1.99,-0.52,0.25,-0.05,279488,5
-1.15,-8.81,-2.05,-0.49,0.21,-0.07,279489,5
-1.11,-8.76,-2.12,-0.46,0.17,-0.1,279490,5
-1.08,-8.71,-2.18,-0.43,0.13,-0.13,279491,5
-1.04,-8.66,-2.24,-0.4,0.1,-0.15,279492,5
-1.01,-8.62,-2.31,-0.37,0.06,-0.18,279493,5
-0.98,-8.58,-2.37,-0.34,0.02,-0.2,279494,5
-0.94,-8.52,-2.43,-0.3,-0.02,-0.23,279495,6
-0.91,-8.48,-2.48,-0.27,-0.05,-0.25,279496,5
-0.87,-8.43,-2.52,-0.23,-0.09,-0.27,279497,5
-0.84,-8.38,-2.59,-0.2,-0.12,-0.29,279498,5
-0.81,-8.33,-2.64,-0.17,-0.15,-0.31,279499,5
-0.78,-8.28,-2.7,-0.14,-0.18,-0.33,279500,5
-0.75,-8.23,-2.74,-0.1,-0.21,-0.34,279501,5
-0.72,-8.19,-2.79,-0.06,-0.23,-0.36,279502,5
-0.69,-8.15,-2.83,-0.03,-0.26,-0.38,279503,5
-0.67,-8.11,-2.87,0.01,-0.28,-0.39,279504,5
-0.64,-8.07,-2.9,0.05,-0.31,-0.41,279505,5
-0.61,-8.03,-2.93,0.09,-0.33,-0.42,279506,6
-0.59,-7.99,-2.96,0.13,-0.36,-0.43,279507,5
-0.57,-7.95,-3,0.17,-0.38,-0.44,279508,5
-0.55,-7.92,-3.03,0.21,-0.4,-0.45,279509,5
-0.53,-7.89,-3.06,0.25,-0.42,-0.46,279510,5
-0.51,-7.86,-3.07,0.28,-0.43,-0.47,279511,5
-0.49,-7.83,-3.09,0.32,-0.45,-0.48,279512,5
-0.48,-7.79,-3.11,0.36,-0.46,-0.49,279513,5
-0.47,-7.76,-3.11,0.4,-0.48,-0.49,279514,5
-0.47,-7.72,-3.13,0.43,-0.49,-0.5,279515,5
-0.47,-7.69,-3.15,0.47,-0.5,-0.5,279516,5
-0.47,-7.66,-3.16,0.5,-0.51,-0.5,279517,5
-0.47,-7.61,-3.18,0.55,-0.52,-0.51,279518,6
-0.47,-7.58,-3.18,0.58,-0.53,-0.51,279519,5
-0.48,-7.56,-3.19,0.61,-0.53,-0.52,279520,5
-0.46,-7.55,-3.2,0.65,-0.54,-0.52,279521,5
-0.45,-7.53,-3.18,0.68,-0.54,-0.53,279522,5
-0.44,-7.52,-3.16,0.72,-0.54,-0.53,279523,6
-0.42,-7.52,-3.14,0.75,-0.54,-0.53,279524,5
-0.41,-7.52,-3.12,0.78,-0.54,-0.54,279525,5
-0.39,-7.53,-3.09,0.81,-0.55,-0.54,279526,5
-0.36,-7.53,-3.05,0.84,-0.55,-0.54,279527,5
-0.34,-7.55,-2.99,0.87,-0.55,-0.55,279528,5
-0.32,-7.57,-2.94,0.9,-0.55,-0.55,279529,5
-0.17,-7.83,-2.51,1.1,-0.56,-0.57,279530,34
-0.16,-7.9,-2.43,1.13,-0.57,-0.56,279531,5
-0.14,-7.99,-2.31,1.16,-0.58,-0.55,279532,7
-0.14,-8.06,-2.23,1.18,-0.59,-0.55,279533,5
-0.12,-8.12,-2.14,1.2,-0.59,-0.54,279534,5
-0.12,-8.2,-2.04,1.21,-0.6,-0.53,279535,5
-0.12,-8.28,-1.94,1.23,-0.6,-0.53,279536,5
-0.11,-8.35,-1.84,1.25,-0.61,-0.52,279537,5
-0.1,-8.43,-1.72,1.26,-0.61,-0.51,279538,5
-0.1,-8.52,-1.61,1.28,-0.62,-0.5,279539,5
-0.11,-8.94,-1.09,1.31,-0.64,-0.47,279540,21
