ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
-2.69,-6.97,0.34,0.38,0.33,1.49,265794,5
-2.77,-6.94,0.34,0.38,0.28,1.47,265795,5
-2.85,-6.91,0.34,0.39,0.23,1.44,265796,5
-2.92,-6.89,0.34,0.39,0.18,1.42,265797,5
-3,-6.89,0.33,0.39,0.14,1.39,265798,5
-3.06,-6.9,0.31,0.4,0.1,1.36,265799,4
-3.13,-6.93,0.29,0.4,0.06,1.33,265800,5
-3.19,-6.94,0.28,0.4,0.01,1.3,265801,5
-3.25,-6.94,0.27,0.4,-0.02,1.27,265802,4
-3.31,-6.95,0.26,0.4,-0.06,1.23,265803,5
-3.39,-6.95,0.29,0.4,-0.1,1.19,265804,5
-3.46,-6.94,0.31,0.4,-0.14,1.14,265805,5
-3.55,-6.94,0.33,0.4,-0.18,1.1,265806,5
-3.61,-6.96,0.34,0.41,-0.21,1.06,265807,4
-3.66,-7,0.34,0.41,-0.23,1.02,265808,4
-3.78,-7.06,0.32,0.42,-0.28,0.96,265809,7
-3.86,-7.11,0.33,0.42,-0.32,0.89,265810,6
-3.94,-7.18,0.34,0.43,-0.35,0.83,265811,6
-4.01,-7.24,0.32,0.43,-0.38,0.78,265812,5
-4.07,-7.32,0.31,0.43,-0.41,0.73,265813,5
-4.15,-7.42,0.31,0.43,-0.45,0.66,265814,6
-4.21,-7.48,0.32,0.43,-0.47,0.62,265815,4
-4.28,-7.57,0.33,0.43,-0.5,0.56,265816,5
-4.36,-7.66,0.33,0.43,-0.52,0.5,265817,5
-4.43,-7.74,0.34,0.43,-0.54,0.44,265818,5
-4.5,-7.84,0.37,0.43,-0.56,0.39,265819,5
-4.57,-7.94,0.38,0.43,-0.58,0.33,265820,5
-4.64,-8.06,0.4,0.42,-0.59,0.26,265821,6
-4.7,-8.16,0.42,0.42,-0.61,0.2,265822,5
-4.77,-8.26,0.45,0.41,-0.62,0.14,265823,5
-4.83,-8.38,0.46,0.4,-0.63,0.09,265824,5
-4.87,-8.47,0.48,0.4,-0.64,0.04,265825,4
-4.92,-8.56,0.51,0.39,-0.64,0,265826,4
-4.96,-8.66,0.53,0.38,-0.65,-0.04,265827,4
-5.01,-8.76,0.57,0.37,-0.65,-0.1,265828,5
-5.06,-8.87,0.62,0.36,-0.65,-0.15,265829,5
