ACX,ACY,ACZ,RTX,RTY,RTZ,muestra,muestreo
0.4,0.81,10.97,0.6,1.21,0.11,82595,5
0.37,0.85,10.87,0.51,1.24,0.1,82596,5
0.32,0.88,10.78,0.41,1.26,0.09,82597,5
0.28,0.91,10.69,0.3,1.28,0.07,82598,5
0.23,0.94,10.6,0.2,1.29,0.06,82599,5
0.19,0.96,10.5,0.09,1.29,0.04,82600,5
0.15,0.98,10.41,-0.02,1.28,0.03,82601,5
0.1,0.99,10.33,-0.13,1.27,0.01,82602,5
0.05,0.99,10.24,-0.24,1.24,-0.01,82603,5
0,0.99,10.15,-0.34,1.21,-0.02,82604,5
-0.05,0.99,10.07,-0.45,1.17,-0.04,82605,5
-0.09,0.98,10,-0.56,1.13,-0.06,82606,5
-0.13,0.96,9.92,-0.66,1.07,-0.08,82607,5
-0.17,0.94,9.85,-0.76,1.01,-0.09,82608,5
-0.21,0.91,9.79,-0.85,0.94,-0.11,82609,5
-0.25,0.88,9.71,-0.95,0.86,-0.13,82610,5
-0.29,0.84,9.66,-1.03,0.78,-0.14,82611,5
-0.31,0.8,9.6,-1.11,0.69,-0.16,82612,5
-0.34,0.76,9.54,-1.19,0.59,-0.17,82613,5
-0.36,0.72,9.5,-1.26,0.49,-0.18,82614,5
-0.37,0.67,9.46,-1.33,0.39,-0.2,82615,5
-0.39,0.62,9.43,-1.39,0.28,-0.21,82616,5
-0.4,0.57,9.41,-1.44,0.17,-0.22,82617,5
-0.39,0.52,9.39,-1.49,0.06,-0.23,82618,5
-0.39,0.47,9.39,-1.53,-0.06,-0.24,82619,5
-0.38,0.41,9.39,-1.56,-0.18,-0.25,82620,5
-0.37,0.35,9.4,-1.58,-0.29,-0.25,82621,5
-0.36,0.3,9.41,-1.6,-0.41,-0.26,82622,5
-0.34,0.24,9.44,-1.61,-0.52,-0.26,82623,5
-0.32,0.19,9.47,-1.62,-0.63,-0.26,82624,5
-0.3,0.14,9.51,-1.61,-0.74,-0.26,82625,5
-0.27,0.1,9.56,-1.6,-0.84,-0.26,82626,5
-0.23,0.05,9.61,-1.58,-0.94,-0.26,82627,5
-0.2,0,9.66,-1.56,-1.04,-0.26,82628,5
-0.16,-0.04,9.71,-1.53,-1.12,-0.26,82629,5
0.22,-0.29,10.33,-1.01,-1.58,-0.2,82630,44
0.26,-0.31,10.41,-0.93,-1.59,-0.19,82631,5
0.31,-0.33,10.51,-0.81,-1.59,-0.18,82632,7
0.36,-0.34,10.59,-0.72,-1.58,-0.18,82633,5
0.41,-0.35,10.7,-0.6,-1.55,-0.17,82634,7
0.45,-0.36,10.78,-0.49,-1.51,-0.16,82635,6
0.48,-0.36,10.85,-0.39,-1.47,-0.15,82636,5
0.51,-0.36,10.92,-0.3,-1.42,-0.15,82637,5
0.54,-0.35,10.98,-0.2,-1.37,-0.14,82638,5
0.57,-0.35,11.04,-0.11,-1.31,-0.14,82639,5
0.6,-0.35,11.1,-0.02,-1.24,-0.13,82640,5
0.62,-0.34,11.15,0.08,-1.16,-0.12,82641,5
0.65,-0.33,11.2,0.17,-1.08,-0.12,82642,5
0.67,-0.31,11.25,0.26,-1,-0.11,82643,5
0.69,-0.29,11.28,0.34,-0.91,-0.11,82644,5
0.71,-0.27,11.32,0.43,-0.81,-0.11,82645,5
0.73,-0.25,11.36,0.51,-0.71,-0.1,82646,5
0.74,-0.21,11.4,0.59,-0.61,-0.1,82647,5
0.76,-0.18,11.44,0.66,-0.5,-0.09,82648,5
0.78,-0.16,11.46,0.73,-0.39,-0.09,82649,5
0.79,-0.13,11.49,0.79,-0.28,-0.08,82650,5
0.8,-0.11,11.51,0.85,-0.17,-0.08,82651,5
0.81,-0.08,11.52,0.91,-0.06,-0.07,82652,5
0.81,-0.05,11.52,0.96,0.05,-0.07,82653,5
0.81,-0.03,11.53,1,0.16,-0.06,82654,5
0.81,0,11.53,1.04,0.27,-0.05,82655,5
0.81,0.03,11.52,1.07,0.38,-0.05,82656,5
0.8,0.06,11.51,1.1,0.49,-0.04,82657,5
0.79,0.1,11.49,1.12,0.59,-0.03,82658,5
0.77,0.13,11.48,1.14,0.69,-0.03,82659,5
0.75,0.17,11.46,1.15,0.79,-0.02,82660,5
0.73,0.2,11.44,1.16,0.88,-0.01,82661,5
0.7,0.23,11.4,1.15,0.96,0,82662,5
0.66,0.26,11.36,1.15,1.04,0.01,82663,5
0.62,0.3,11.31,1.14,1.11,0.01,82664,5
0.58,0.33,11.26,1.12,1.17,0.02,82665,5
0.55,0.35,11.24,1.11,1.21,0.02,82666,4
0.5,0.38,11.18,1.08,1.27,0.03,82667,5
0.46,0.41,11.13,1.05,1.31,0.04,82668,5
0.42,0.43,11.06,1.01,1.35,0.04,82669,5
0.38,0.45,11,0.98,1.38,0.05,82670,5
