ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
8.10127,-3.29697,-3.49795,9.41999,3.69632
8.15151,-3.21563,-3.56973,9.46205,4.83721
8.19697,-3.10317,-3.675,9.50398,5.83087
8.23047,-2.9668,-3.80181,9.53919,6.879
8.26157,-2.76104,-3.9645,9.57048,7.75814
8.27832,-2.49067,-4.17744,9.6013,8.03008
8.29268,-2.14853,-4.45737,9.65675,8.03603
8.30225,-1.78008,-4.76841,9.73826,7.74398
8.33096,-1.46186,-5.10576,9.87981,6.89269
8.34531,-1.18672,-5.45508,10.0404,5.87589
8.37402,-0.916357,-5.82114,10.2396,4.8492
8.40752,-0.669922,-6.17046,10.4503,3.69702
8.44102,-0.492871,-6.4791,10.6523,2.6432
8.45298,-0.392383,-6.68247,10.7825,1.84821
8.44819,-0.358887,-6.84756,10.8807,1.20772
8.43384,-0.375635,-6.95044,10.9352,0.692245
8.4123,-0.428271,-6.99351,10.948,0.356361
8.4123,-0.502441,-6.96001,10.9298,0.163972
8.42427,-0.593359,-6.9002,10.9056,0.048746
8.44341,-0.720166,-6.78296,10.8544,0.000809
8.45059,-0.866113,-6.64898,10.7876,0.022431
8.46255,-1.03599,-6.49106,10.7155,0.091014
8.44341,-1.22022,-6.30684,10.6093,0.179384
8.40752,-1.40205,-6.13936,10.5045,0.265392
8.36685,-1.61977,-5.95034,10.394,0.365665
8.30703,-1.83989,-5.75176,10.2701,0.502843
8.2544,-2.05044,-5.54121,10.1511,0.608151
8.21851,-2.24424,-5.31392,10.0408,0.681835
8.19219,-2.42847,-5.06987,9.93544,0.793986
8.19697,-2.59595,-4.82583,9.85992,0.901081
8.2209,-2.75386,-4.57461,9.80275,1.02373
8.23765,-2.88306,-4.33296,9.74399,1.20666
8.23765,-2.98594,-4.09131,9.67023,1.4005
8.24482,-3.05054,-3.89033,9.61341,1.4909
8.22568,-3.08403,-3.70132,9.53273,1.44556
8.19937,-3.07925,-3.53862,9.44633,1.35314
8.16826,-3.04097,-3.4166,9.36168,1.18192
8.13716,-2.96201,-3.32568,9.27615,0.947604
8.10845,-2.8376,-3.27065,9.19217,0.775263
8.08213,-2.65815,-3.25151,9.10818,0.749967
8.06538,-2.44522,-3.28023,9.04374,0.808621
8.05102,-2.20117,-3.34961,8.99356,0.615352
8.03428,-1.95234,-3.44771,8.95812,0.34489
8.00796,-1.7418,-3.56973,8.93892,0.269948
7.99121,-1.53364,-3.70132,8.93931,0.229069
7.99839,-1.35659,-3.81855,8.96638,0.218015
8.03189,-1.225,-3.92383,9.02265,0.308654
8.08931,-1.1269,-4.01714,9.10188,0.248855
8.17305,-1.0647,-4.09849,9.20488,0.087552
9.00327,-1.21304,-4.57939,10.1736,0.041173
9.81675,-1.27524,-4.9646,11.0744,0.018426
8.94585,-0.787158,-4.16069,9.89743,8.3e-05
9.8,-0.978564,-4.64878,10.8908,0.007608
10.3,-1.11255,-4.88086,11.4521,0.032759
9.67559,-0.887646,-4.32817,10.6366,0.072013
9.98184,-0.980957,-4.48848,10.9884,0.065763
9.91724,-1.01206,-4.42148,10.9053,0.031511
9.25928,-0.894824,-3.998,10.1252,0.00371
9.52246,-0.985742,-4.13677,10.4289,0.013049
9.48418,-1.00249,-4.04824,10.3606,0.099716
9.36455,-0.978564,-3.87358,10.1812,0.292131
9.67798,-1.03599,-3.90947,10.4891,0.613614
9.63491,-0.995313,-3.70371,10.3701,1.04039
9.7354,-1.01445,-3.62715,10.4386,1.58078
9.99858,-1.0958,-3.67261,10.708,2.10143
9.91484,-1.09341,-3.59365,10.6025,2.41359
10.1158,-1.21543,-3.80181,10.8748,2.53443
9.6373,-1.15801,-3.75874,10.409,2.50926
9.42436,-1.19868,-3.91187,10.2742,2.40247
9.6062,-1.33267,-4.26597,10.595,2.30315
9.51528,-1.38291,-4.47412,10.6052,2.28963
9.2521,-1.39727,-4.59375,10.4238,2.38392
9.20903,-1.45229,-4.8019,10.4868,2.53992
9.19468,-1.50732,-4.97178,10.5609,2.71674
9.21143,-1.58389,-5.17036,10.6814,2.86773
9.2856,-1.68916,-5.45029,10.8987,2.91964
9.14922,-1.75615,-5.68955,10.9162,2.78973
8.94106,-1.7729,-5.94556,10.8828,2.37665
8.7688,-1.72744,-6.20874,10.8823,1.66071
8.62524,-1.60064,-6.43843,10.8816,0.809445
8.61089,-1.45469,-6.61548,10.9557,0.162313
8.575,-1.31113,-6.66094,10.937,0.016396
8.52476,-1.19868,-6.60352,10.8496,0.395052
8.5439,-1.15562,-6.52456,10.8122,1.14116
8.56543,-1.1604,-6.40254,10.7567,2.06076
8.59175,-1.20347,-6.29248,10.7174,2.97276
8.56782,-1.225,-6.16567,10.6266,3.79481
8.43623,-1.21782,-6.02451,10.4378,4.58476
8.26636,-1.18433,-5.89531,10.222,5.40095
8.08452,-1.15083,-5.77808,10.0035,6.32232
7.90269,-1.16279,-5.64888,9.78337,7.35522
7.74956,-1.21064,-5.50054,9.58005,8.35406
7.61797,-1.26328,-5.33545,9.38597,9.17638
7.49355,-1.32549,-5.11533,9.16935,9.65137
7.42178,-1.39248,-4.89282,8.99786,9.56097
7.40264,-1.48579,-4.66792,8.87672,8.81044
7.41699,-1.5791,-4.46694,8.80108,7.49698
7.43853,-1.66523,-4.30903,8.75628,5.89849
7.42896,-1.75615,-4.15112,8.68938,4.38741
7.3835,-1.86621,-4.02192,8.61247,3.18387
7.34282,-2.01694,-3.9023,8.55646,2.302
7.29258,-2.17725,-3.78745,8.50099,1.62615
7.26147,-2.39976,-3.69414,8.4932,1.04148
7.13945,-2.70601,-3.52905,8.41121,0.525146
7.05332,-2.92373,-3.30654,8.3205,0.144174
7.06289,-3.00508,-3.03618,8.25429,2.6e-05
7.16099,-3.06489,-2.75864,8.26338,0.136135
7.31411,-3.18931,-2.51221,8.36535,0.504723
7.5773,-3.40464,-2.38779,8.64341,0.990313
7.84526,-3.61279,-2.32319,8.94414,1.46841
7.64668,-3.65586,-2.01934,8.71291,1.81296
7.73999,-4.05781,-2.01694,8.96891,1.97325
7.86201,-4.43584,-2.10068,9.26827,2.01201
7.80459,-4.63682,-2.11025,9.32013,1.98856
8.41948,-4.97896,-2.54092,10.1061,1.96805
9.0918,-5.12012,-2.94048,10.8408,2.02998
8.43862,-4.47412,-2.48589,9.86954,2.19383
8.56543,-4.24204,-2.65098,9.91913,2.41908
9.2832,-4.39277,-3.17017,10.7482,2.65271
9.10376,-4.01953,-3.13906,10.435,2.864
8.99131,-3.74678,-3.26348,10.2729,3.04237
9.23774,-3.70132,-3.70132,10.6177,3.17518
9.00806,-3.39268,-3.80181,10.3494,3.2551
8.5439,-2.94287,-3.81855,9.8102,3.29844
