ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.16597,-1.91885,0.629248,9.38578,0.806488
9.33584,-1.99302,0.590967,9.56448,0.982955
9.52246,-2.04565,0.552686,9.75538,1.09546
9.68037,-2.0624,0.516797,9.91111,1.13874
9.80718,-2.0313,0.476123,10.0266,1.12929
9.91963,-1.98345,0.425879,10.1249,1.08763
10.001,-1.92603,0.366064,10.1913,1.02132
10.0464,-1.88296,0.31582,10.2262,0.925744
10.1086,-1.82554,0.267969,10.2757,0.810498
10.1828,-1.75376,0.220117,10.3351,0.688512
10.2378,-1.6772,0.191406,10.3761,0.561284
10.2283,-1.60064,0.193799,10.3546,0.436622
10.1996,-1.50972,0.215332,10.3129,0.331409
10.1948,-1.46426,0.251221,10.3025,0.251243
10.2283,-1.47622,0.320605,10.3392,0.188146
10.2498,-1.55757,0.38042,10.3745,0.135864
10.1326,-1.67002,0.440234,10.2787,0.097561
9.79282,-1.72505,0.492871,9.95581,0.071541
9.38608,-1.78247,0.545508,9.5694,0.05647
8.98652,-1.92603,0.6125,9.21099,0.055358
8.66831,-2.18203,0.6771,8.96434,0.064175
8.57739,-2.53374,0.732129,8.97371,0.078132
8.78794,-2.88545,0.75127,9.27998,0.100335
9.19468,-3.32808,0.689063,9.8027,0.134955
9.83828,-3.53384,0.550293,10.4682,0.186743
9.93877,-3.55298,0.409131,10.5627,0.262976
9.67798,-3.3209,0.303857,10.2364,0.35651
9.50811,-3.20366,0.24165,10.0362,0.456398
9.58706,-3.43335,0.215332,10.1856,0.568041
9.70669,-3.79941,0.208154,10.4259,0.703572
9.71148,-4.09609,0.198584,10.5418,0.886739
9.64209,-4.32817,0.208154,10.571,1.12396
9.65644,-4.55786,0.215332,10.6802,1.37315
9.64209,-4.7062,0.210547,10.7314,1.59078
9.35737,-4.70859,0.239258,10.478,1.73956
8.7688,-4.57222,0.308643,9.89405,1.7789
8.32378,-4.52197,0.385205,9.48061,1.68664
8.35727,-4.61528,0.385205,9.55475,1.45496
8.72095,-4.75166,0.311035,9.93629,1.13646
9.02959,-4.78516,0.23208,10.2218,0.799226
9.13008,-4.64878,0.189014,10.2472,0.482472
9.16597,-4.39038,0.172266,10.1646,0.228415
9.26167,-4.10327,0.165088,10.1313,0.063946
9.35737,-3.85205,0.160303,10.1205,0.000739
9.46265,-3.6104,0.155518,10.1292,0.034489
9.62773,-3.4501,0.150732,10.2284,0.144952
9.78086,-3.32329,0.155518,10.3312,0.314953
9.90049,-3.24194,0.179443,10.4193,0.533377
10.0943,-3.24434,0.196191,10.6047,0.782871
10.1708,-3.22519,0.234473,10.6725,1.04286
10.0823,-3.1582,0.327783,10.5705,1.30759
9.9603,-3.05293,0.425879,10.4264,1.56394
9.8335,-2.93809,0.502441,10.2753,1.7858
9.73779,-2.81606,0.550293,10.1517,1.95084
9.71865,-2.69883,0.550293,10.1014,2.05083
9.99619,-2.63184,0.440234,10.3462,2.09873
10.4125,-2.56484,0.244043,10.7265,2.10886
10.8264,-2.47153,0.016748,11.105,2.08662
10.9843,-2.2562,-0.14834,11.2146,2.04627
10.7211,-1.89971,-0.215332,10.8903,1.98739
10.379,-1.60542,-0.24165,10.5052,1.8931
10.1972,-1.48579,-0.311035,10.3095,1.77959
9.95791,-1.41641,-0.387598,10.0656,1.67654
9.76172,-1.39009,-0.480908,9.87192,1.59196
9.74736,-1.40444,-0.610107,9.8669,1.51757
9.74736,-1.39487,-0.799121,9.87904,1.44056
9.64687,-1.36138,-0.980957,9.79172,1.33948
9.6373,-1.31592,-1.21304,9.80208,1.20354
9.66602,-1.23218,-1.47861,9.85578,1.04651
9.5416,-1.10537,-1.72744,9.75951,0.878563
9.39326,-0.959424,-1.94995,9.64138,0.703947
9.09658,-0.784766,-2.13418,9.37648,0.523257
8.6707,-0.569434,-2.24663,8.97512,0.343725
8.5104,-0.394775,-2.38779,8.84784,0.184878
8.92671,-0.366064,-2.66533,9.32331,0.066641
9.51768,-0.425879,-2.94766,9.97277,0.005854
9.77129,-0.442627,-3.14146,10.2734,0.011786
9.78565,-0.418701,-3.22519,10.3119,0.087123
9.66123,-0.356494,-3.21802,10.1893,0.235994
9.49614,-0.320605,-3.16538,10.0149,0.461523
9.53682,-0.38042,-3.17974,10.0601,0.759407
9.68994,-0.516797,-3.20606,10.2196,1.1154
9.74976,-0.662744,-3.21084,10.2862,1.51913
9.61577,-0.772803,-3.14146,10.1454,1.97646
9.45068,-0.880469,-3.05054,9.96978,2.46887
9.32866,-0.973779,-2.94048,9.82948,2.97003
9.31909,-1.08144,-2.8687,9.81043,3.52143
9.5416,-1.24414,-2.85435,10.0368,4.12864
9.77607,-1.42837,-2.85195,10.2833,4.73043
9.81675,-1.56475,-2.80171,10.3279,5.32916
9.64209,-1.62935,-2.67251,10.1374,5.92456
9.45547,-1.66045,-2.50981,9.92281,6.43862
9.28799,-1.69634,-2.32559,9.72382,6.81619
9.16836,-1.7729,-2.14853,9.58218,7.05527
9.17314,-1.92124,-1.98106,9.57926,7.14194
9.14443,-2.0648,-1.79443,9.54484,7.05025
9.15161,-2.20835,-1.60064,9.54939,6.72491
9.29277,-2.33037,-1.46186,9.6914,6.15731
9.52007,-2.43325,-1.37573,9.92195,5.40947
9.80479,-2.51699,-1.31592,10.2079,4.51111
10.0991,-2.61509,-1.27764,10.5101,3.50319
10.2905,-2.68447,-1.22022,10.7046,2.49697
10.3479,-2.71079,-1.1269,10.7563,1.6059
10.2809,-2.72275,-0.990527,10.6814,0.894819
10.068,-2.72275,-0.791943,10.4597,0.384826
9.77607,-2.7395,-0.552686,10.1677,0.088449
9.49614,-2.78735,-0.301465,9.90136,0.000236
9.32627,-2.87349,-0.098096,9.7594,0.101724
9.29756,-3.02661,0.090918,9.7782,0.375683
9.47222,-3.23237,0.210547,10.0108,0.81132
9.5751,-3.37832,0.31582,10.1585,1.40998
9.56314,-3.42617,0.456982,10.1686,2.15318
9.59663,-3.43335,0.581396,10.2089,2.9783
9.66602,-3.42139,0.693848,10.2771,3.79687
9.82153,-3.44771,0.782373,10.4385,4.49874
9.9627,-3.47402,0.885254,10.5881,4.97706
9.99619,-3.46206,1.03359,10.6291,5.21739
9.99619,-3.49077,1.21543,10.6577,5.24989
9.9627,-3.50752,1.3853,10.6526,5.05414
9.85024,-3.47163,1.60781,10.5671,4.67368
9.71626,-3.47402,1.81357,10.4768,4.27715
9.51289,-3.48359,2.02651,10.3314,3.96707
9.19468,-3.48838,2.24424,10.087,3.72061
8.8956,-3.55776,2.39019,9.87433,3.53616
8.83579,-3.74917,2.39736,9.89317,3.44574
8.93628,-3.95254,2.31841,10.0426,3.42094
8.74727,-3.9956,2.27773,9.88269,3.40034
8.13716,-3.79463,2.32559,9.27474,3.32744
7.2208,-3.45249,2.37105,8.34755,3.12784
6.26377,-3.13667,2.36626,7.3941,2.77514
5.41201,-2.95483,2.23228,6.55774,2.30515
4.89043,-2.97397,1.98823,6.0592,1.72901
4.63442,-3.0936,1.73462,5.83585,1.14194
4.62725,-3.15581,1.53125,5.80649,0.697009
4.33535,-2.92612,1.58867,5.46638,0.414063
3.9334,-2.50024,1.67959,4.95418,0.196081
3.97168,-2.09829,1.51211,4.73957,0.035977
4.60571,-1.85664,1.11733,5.09,0.00423
5.92642,-1.78726,0.361279,6.20058,0.099264
7.17056,-1.77529,-0.361279,7.39588,0.348012
8.14194,-1.81836,-0.990527,8.40112,0.719662
9.21143,-1.99063,-1.77051,9.58893,1.16426
9.81914,-2.18682,-2.36865,10.3348,1.66738
9.91484,-2.21792,-2.51699,10.467,2.12554
9.81436,-2.07676,-2.50742,10.3403,2.52175
10.2642,-2.1581,-2.98354,10.9047,2.85971
11.3001,-2.50503,-3.92144,12.2207,3.0938
12.7572,-2.92852,-5.14883,14.0653,3.34822
14.1162,-3.352,-6.13218,15.7514,3.68173
14.688,-3.73481,-6.37622,16.4421,4.06139
14.5828,-3.98125,-6.13936,16.3156,4.52318
13.9368,-4.00039,-5.71826,15.5864,4.89988
13.152,-3.81616,-5.52446,14.7668,4.97205
12.6161,-3.58408,-5.62256,14.2697,4.75641
12.4127,-3.37593,-5.92402,14.1621,4.3121
12.5563,-3.27544,-6.34033,14.4426,3.77092
12.8792,-3.26348,-6.71357,14.8861,3.31163
13.2046,-3.27065,-7.00786,15.3026,2.91574
13.5851,-3.35439,-7.29976,15.7827,2.51774
14.0971,-3.55059,-7.66821,16.4358,2.16951
14.5493,-3.65586,-7.95532,16.9804,1.88542
14.6904,-3.62954,-8.00317,17.1182,1.71939
14.4799,-3.49556,-7.81655,16.8221,2.103
13.9272,-3.24912,-7.40981,16.1068,3.83778
13.0061,-2.95244,-6.75425,14.9497,6.70817
11.8504,-2.74668,-5.9312,13.5335,7.75349
10.5896,-2.68208,-5.01724,12.021,5.78984
9.5105,-2.73232,-4.17744,10.7409,3.33125
8.78794,-2.79453,-3.53145,9.87463,1.53551
8.38838,-2.75147,-3.08882,9.35287,0.347303
8.13237,-2.53852,-2.77061,8.95856,1.1e-05
8.00317,-2.20835,-2.6103,8.70295,0.168346
7.78545,-1.8375,-2.40454,8.35293,0.574878
7.36675,-1.4188,-2.02412,7.77039,1.27258
7.00786,-1.13647,-1.68437,7.29649,2.10426
6.66094,-1.0312,-1.40923,6.88603,2.96257
6.23506,-1.0958,-1.14604,6.43352,3.78273
5.98144,-1.35659,-0.945068,6.20574,4.06292
6.06997,-1.71069,-0.875684,6.36693,3.36759
6.43604,-2.06001,-0.899609,6.81729,2.0314
6.92412,-2.36147,-0.92832,7.3744,0.790658
7.53662,-2.65337,-0.964209,8.04803,0.096188
8.15869,-2.93569,-1.02163,8.73077,0.101823
8.55586,-3.14146,-1.01924,9.17117,0.939865
8.58457,-3.21563,-0.913965,9.21251,2.06792
7.95772,-2.96201,-0.689063,8.51901,2.47848
7.01265,-2.42368,-0.289502,7.42531,2.11245
6.48389,-2.12461,0.143555,6.82461,1.33373
6.45278,-2.24902,0.564648,6.85677,0.495571
6.61787,-2.6103,1.00967,7.18536,0.054054
6.72793,-3.23716,1.45469,7.6066,0.020804
7.14902,-3.67978,1.82554,8.24512,0.260929
7.38828,-4.31382,2.127,8.81589,0.883546
7.70889,-4.79233,2.36626,9.38044,1.6993
7.80459,-5.14165,2.56963,9.69284,2.17781
7.72563,-5.4144,2.80171,9.84128,2.1113
7.54141,-5.60342,3.03618,9.87368,1.58652
7.27344,-5.76372,3.28262,9.84373,0.931346
