ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
8.75684,-2.53135,-5.82832,10.8194,0.036129
8.90518,-2.11982,-5.98862,10.9389,0.123878
9.07505,-1.7394,-6.1585,11.1045,0.278591
9.13726,-1.35659,-6.26377,11.1609,0.479458
9.19229,-1.04316,-6.37144,11.2331,0.667497
9.19468,-0.708203,-6.46235,11.2608,0.796997
9.14922,-0.416309,-6.55088,11.2604,0.852458
9.10854,-0.186621,-6.6418,11.2745,0.84512
9.03438,0.007178,-6.69204,11.2429,0.814452
8.96021,0.16748,-6.73032,11.2076,0.79977
8.88603,0.303857,-6.68965,11.1268,0.821573
8.79751,0.416309,-6.60112,11.0066,0.873827
8.74248,0.468945,-6.52935,10.9217,0.942707
8.62046,0.480908,-6.34033,10.7118,0.9979
8.575,0.449805,-6.10586,10.5363,0.998261
8.55107,0.430664,-5.71826,10.2959,0.934623
8.56782,0.468945,-5.23018,10.049,0.827523
8.68506,0.526367,-4.68467,9.88197,0.705713
8.81904,0.535938,-4.0291,9.71063,0.596403
8.95781,0.440234,-3.35918,9.57707,0.511396
9.06548,0.191406,-2.70122,9.4613,0.450998
9.14922,-0.177051,-2.10786,9.39056,0.410114
9.21143,-0.617285,-1.55996,9.36295,0.37776
9.2521,-1.10059,-1.09341,9.38127,0.342548
9.20903,-1.55518,-0.705811,9.36606,0.298556
9.13726,-2.07197,-0.334961,9.37522,0.239572
9.0272,-2.58398,0.004785,9.38974,0.164266
8.89321,-3.06489,0.320605,9.41199,0.084404
8.76162,-3.51231,0.610107,9.4591,0.006575
8.6061,-3.9334,0.85415,9.50085,0.218399
8.44102,-4.30185,1.07187,9.53444,1.83431
8.31899,-4.63921,1.2585,9.6079,2.75145
8.1874,-4.91196,1.42837,9.65408,1.66335
8.09888,-5.12251,1.5791,9.71213,1.37044
8.07734,-5.25649,1.67959,9.78239,1.15799
8.03906,-5.30195,1.74897,9.78755,0.744081
8.03189,-5.20386,1.74419,9.72798,0.781547
8.0582,-5.0292,1.68437,9.647,0.776406
8.08931,-4.80908,1.53364,9.535,0.743533
8.12759,-4.55068,1.32788,9.40902,0.880365
8.18501,-4.23965,1.07187,9.27997,0.810942
8.27593,-3.92861,0.799121,9.19585,0.721135
8.32378,-3.65107,0.45459,9.10068,0.635492
8.34292,-3.43813,0.021533,9.02361,0.446474
8.35488,-3.30415,-0.447412,8.99565,0.337004
8.36206,-3.19409,-1.00727,9.00782,0.228736
8.37642,-3.08403,-1.56475,9.06223,0.107032
8.43623,-2.9668,-2.11982,9.19051,0.045342
8.55825,-2.83281,-2.58159,9.37727,0.008311
