ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
7.57251,-1.5791,-2.51939,8.13534,10.3426
7.72324,-1.53604,-2.36387,8.22166,10.2439
7.85483,-1.51929,-2.26099,8.31377,9.93148
8.01992,-1.53604,-2.17485,8.45036,9.34036
8.21133,-1.59585,-2.11025,8.62704,8.19863
8.40273,-1.68437,-2.07436,8.81737,6.95881
8.6085,-1.83272,-2.05044,9.03711,5.88441
8.7353,-2.14136,-2.05523,9.22577,4.55285
8.88603,-2.45957,-2.09829,9.45589,2.8455
9.0583,-2.65576,-2.15571,9.68261,1.35592
9.23774,-2.75864,-2.1916,9.88682,0.537181
9.46743,-2.88306,-2.24424,10.1479,0.278154
9.64687,-3.02183,-2.29209,10.3657,0.316676
9.79761,-3.20127,-2.35908,10.5739,0.46096
9.95791,-3.4166,-2.44761,10.8085,0.46513
10.0847,-3.63433,-2.52656,11.0133,0.244273
10.1685,-3.82573,-2.59595,11.1702,0.018667
10.2594,-3.9669,-2.6749,11.3202,0.108303
10.3407,-4.03389,-2.76343,11.4385,0.729203
10.4101,-4.01714,-2.85195,11.517,2.14818
10.4819,-3.95015,-2.96919,11.5883,4.82098
10.5226,-3.83291,-3.09839,11.6196,8.83888
10.5393,-3.70132,-3.2228,11.626,13.6997
10.5537,-3.56494,-3.37832,11.6405,18.6715
10.5034,-3.45249,-3.55537,11.6139,22.7895
10.4125,-3.35439,-3.74678,11.5633,25.0375
10.3144,-3.24673,-3.95732,11.5147,24.8832
10.1948,-3.10317,-4.16309,11.4409,22.7494
10.0991,-2.92612,-4.33774,11.3741,19.2973
10.0201,-2.71079,-4.47173,11.3025,14.8645
9.94116,-2.49067,-4.59136,11.2299,10.2418
9.87895,-2.29448,-4.69663,11.1766,6.44321
9.78804,-2.13896,-4.76602,11.0949,3.75889
9.66841,-1.98345,-4.81865,10.9832,2.01415
9.54399,-1.85186,-4.84736,10.8634,1.03378
9.40283,-1.7418,-4.85693,10.7255,0.576753
9.22817,-1.64609,-4.84976,10.5541,0.334092
9.07744,-1.55757,-4.8354,10.4023,0.062497
8.90518,-1.46904,-4.80908,10.2268,0.22222
8.73052,-1.39009,-4.78994,10.0547,1.47358
8.56543,-1.31353,-4.76602,9.88973,1.71705
8.41948,-1.26089,-4.75166,9.74966,1.90101
8.26636,-1.20825,-4.73731,9.60388,3.6089
8.13477,-1.15322,-4.72773,9.47923,4.52616
8.01514,-1.09819,-4.72773,9.37016,5.13086
7.88833,-1.04556,-4.7397,9.26195,7.27685
7.78306,-1.00967,-4.7397,9.16843,8.84606
7.68018,-1.00967,-4.7397,9.08126,9.42815
7.56294,-1.05273,-4.72295,8.97845,8.92956
7.45767,-1.12212,-4.69424,8.88323,7.29842
7.35957,-1.18911,-4.6727,8.79838,6.81772
7.29258,-1.24175,-4.64639,8.7357,7.34825
7.21841,-1.29438,-4.61768,8.66624,7.37108
7.14663,-1.33027,-4.60811,8.60689,7.15535
7.11074,-1.37334,-4.61528,8.58776,6.95929
7.0916,-1.39966,-4.6105,8.5736,6.77867
7.09639,-1.42358,-4.60571,8.57892,6.92209
7.13706,-1.45708,-4.60571,8.6182,6.64278
7.21123,-1.51211,-4.60093,8.68659,5.39584
7.3189,-1.58389,-4.60571,8.79133,3.9425
7.45527,-1.67959,-4.60811,8.92394,2.79255
7.60361,-1.78008,-4.60093,9.06378,2.01014
7.77588,-1.89014,-4.58896,9.22472,1.51588
7.98164,-2.02651,-4.57222,9.41905,1.12389
8.16587,-2.14614,-4.5459,9.58919,0.789742
8.31899,-2.26816,-4.51719,9.73423,0.540293
8.49365,-2.41411,-4.48369,9.90321,0.335406
8.61807,-2.58159,-4.41431,10.0211,0.142581
8.75205,-2.72993,-4.34492,10.1454,0.008196
8.90757,-2.84238,-4.29707,10.2902,0.082615
9.03916,-2.91177,-4.23008,10.3961,0.48914
