ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.31909,-2.93809,-1.67241,9.91336,15.4369
9.32627,-2.80171,-1.64849,9.87656,15.3466
9.39087,-2.68208,-1.6437,9.90372,15.2615
9.43872,-2.55288,-1.62935,9.91269,15.1824
9.46025,-2.43325,-1.60781,9.8996,15.1089
9.48657,-2.32798,-1.57192,9.89371,15.0399
9.52246,-2.23706,-1.5145,9.89825,14.974
9.53203,-2.17485,-1.44273,9.88287,14.9097
9.51528,-2.10308,-1.37573,9.84155,14.8463
9.54878,-2.05523,-1.30395,9.85411,14.783
9.5727,-1.98106,-1.24414,9.8544,14.7197
9.6062,-1.90449,-1.19629,9.86597,14.6562
9.6373,-1.84468,-1.15083,9.87952,14.5922
9.64687,-1.75376,-1.10059,9.86657,14.5276
9.69233,-1.67002,-1.05991,9.8921,14.4625
9.74497,-1.58867,-1.02402,9.92658,14.3974
9.78565,-1.50732,-0.973779,9.94882,14.3336
9.80479,-1.41162,-0.92832,9.94928,14.2725
9.86699,-1.30156,-0.880469,9.99134,14.2158
9.9292,-1.17715,-0.827832,10.0329,14.1655
9.96748,-1.05752,-0.772803,10.0532,14.1236
10.0153,-0.913965,-0.715381,10.0824,14.0922
10.0775,-0.772803,-0.657959,10.1285,14.0734
10.1326,-0.645996,-0.600537,10.1709,14.0687
10.1493,-0.507227,-0.545508,10.1766,14.0782
10.2139,-0.452197,-0.492871,10.2358,14.1005
10.2259,-0.373242,-0.430664,10.2417,14.1317
10.2259,-0.289502,-0.368457,10.2366,14.1659
10.2546,-0.256006,-0.325391,10.2629,14.1959
10.2713,-0.239258,-0.260791,10.2774,14.2147
10.2474,-0.234473,-0.193799,10.2519,14.2164
10.2211,-0.244043,-0.145947,10.225,14.1977
10.2187,-0.289502,-0.100488,10.2233,14.1582
10.1924,-0.332568,-0.050244,10.1979,14.1002
10.1565,-0.401953,0.004785,10.1644,14.0284
10.1278,-0.478516,0.062207,10.1393,13.9492
10.1086,-0.579004,0.119629,10.1259,13.8696
10.0488,-0.701025,0.16748,10.0746,13.7961
9.97705,-0.808691,0.217725,10.0121,13.7343
9.98184,-0.959424,0.253613,10.031,13.6878
9.96748,-1.13408,0.29668,10.0362,13.6572
9.87895,-1.33745,0.349316,9.9752,13.6403
9.79522,-1.54321,0.385205,9.92351,13.6327
9.7354,-1.78486,0.411523,9.90622,13.6289
9.67319,-2.02891,0.433057,9.89316,13.6246
9.59663,-2.26099,0.433057,9.86889,13.6173
9.51289,-2.4835,0.411523,9.84033,13.6077
9.46025,-2.68926,0.366064,9.84188,13.599
9.40762,-2.88306,0.301465,9.84409,13.5956
9.35498,-3.04814,0.24165,9.84201,13.6025
9.30952,-3.17734,0.191406,9.83867,13.6236
9.2832,-3.30654,0.119629,9.85522,13.6614
9.25449,-3.42617,0.047852,9.86846,13.717
9.24731,-3.51709,-0.028711,9.89361,13.7897
9.25449,-3.8353,-0.351709,10.0239,13.8778
9.25689,-3.89033,-0.452197,10.0513,13.9788
9.25928,-3.9023,-0.492871,10.0601,14.0893
9.26167,-3.88794,-0.500049,10.0571,14.2061
9.26885,-3.89033,-0.502441,10.0647,14.3257
9.27842,-3.92861,-0.523975,10.0895,14.445
9.27842,-3.93101,-0.574219,10.0931,14.5613
9.31431,-3.92383,-0.674707,10.1296,14.6727
9.37891,-3.86162,-0.784766,10.1731,14.7781
9.42676,-3.79224,-0.90918,10.2015,14.8772
9.40522,-3.73242,-0.997705,10.1678,14.9707
9.46743,-3.73721,-1.1269,10.2406,15.0601
9.48418,-3.75874,-1.24653,10.2777,15.1472
9.48418,-3.75395,-1.3853,10.2937,15.2342
9.51289,-3.7731,-1.55518,10.3513,15.3233
9.52485,-3.79941,-1.7394,10.4011,15.4166
9.51528,-3.85205,-1.89492,10.4389,15.5158
9.48418,-3.8999,-2.03848,10.4553,15.6226
9.53203,-3.9956,-2.18682,10.5644,15.7376
9.60142,-3.93818,-2.34233,10.6387,15.8609
9.39805,-3.87598,-2.45479,10.4581,15.991
9.48179,-4.12241,-2.59355,10.6595,16.1254
9.52725,-4.39038,-2.67012,10.8247,16.2605
9.3813,-4.50523,-2.67969,10.7465,16.3927
9.25928,-4.46934,-2.63901,10.6148,16.5182
9.34302,-4.38799,-2.59355,10.643,16.6342
9.36216,-4.27793,-2.53374,10.6005,16.7385
9.24971,-4.20376,-2.45,10.4514,16.8298
9.2186,-4.21333,-2.37822,10.4111,16.9078
9.23535,-4.28271,-2.31602,10.4402,16.9725
9.11094,-4.28032,-2.22988,10.3103,17.0247
9.01763,-4.27075,-2.14375,10.2055,17.0652
9.01284,-4.27793,-2.08154,10.1914,17.0951
8.95303,-4.28271,-2.0313,10.1304,17.1155
8.87886,-4.29228,-1.97148,10.0571,17.1274
8.87886,-4.31621,-1.94517,10.0622,17.1322
8.88364,-4.34014,-1.90928,10.0698,17.131
8.84297,-4.35928,-1.85186,10.0315,17.1252
8.84775,-4.37124,-1.79443,10.0305,17.1158
8.8645,-4.36646,-1.71787,10.0298,17.1033
8.84775,-4.3521,-1.64131,9.99587,17.0876
8.83579,-4.3521,-1.53843,9.96889,17.068
8.82861,-4.30185,-1.40444,9.92083,17.0434
8.91235,-4.33535,-1.28003,9.99319,17.0132
8.8023,-4.3856,-1.13647,9.89977,16.9775
8.74248,-4.5124,-1.04556,9.89373,16.9376
8.78315,-4.65356,-0.997705,9.98974,16.896
8.77119,-4.71099,-0.935498,10.0001,16.8565
8.75923,-4.71816,-0.892432,9.98907,16.8234
8.78555,-4.74448,-0.839795,10.02,16.8007
8.77358,-4.70859,-0.784766,9.98812,16.7894
8.8023,-4.67988,-0.746484,9.99695,16.7868
8.83818,-4.63682,-0.705811,10.0056,16.7859
8.82383,-4.5459,-0.657959,9.94777,16.7773
8.86211,-4.45737,-0.607715,9.93853,16.7514
8.91475,-4.36885,-0.562256,9.94362,16.7003
8.90518,-4.22769,-0.519189,9.87143,16.62
8.94106,-4.08413,-0.495264,9.84216,16.5093
9.00566,-3.95015,-0.485693,9.84589,16.371
9.00088,-3.76592,-0.466553,9.76809,16.2108
9.07983,-3.59365,-0.456982,9.77581,16.0377
9.12529,-3.40703,-0.44502,9.75074,15.8633
9.1229,-3.22759,-0.435449,9.68681,15.6997
9.18032,-3.04575,-0.437842,9.68228,15.558
9.2186,-2.87349,-0.416309,9.66503,15.4457
9.22339,-2.69404,-0.385205,9.6165,15.3661
9.24731,-2.55049,-0.339746,9.59861,15.3181
9.27603,-2.42129,-0.279932,9.59092,15.2972
9.26885,-2.27773,-0.236865,9.54755,15.2974
9.2832,-2.13896,-0.200977,9.52856,15.3125
9.31909,-2.01694,-0.16748,9.53633,15.3369
9.32388,-1.88057,-0.102881,9.51219,15.3656
9.32627,-1.75615,-0.043066,9.49027,15.3945
9.34062,-1.65566,0.019141,9.48625,15.4196
9.33584,-1.55996,0.090918,9.46571,15.4372
9.31909,-1.47383,0.179443,9.43662,15.4445
9.30713,-1.40205,0.270361,9.41602,15.4397
9.29756,-1.34941,0.37085,9.40229,15.4223
9.29038,-1.29199,0.471338,9.39162,15.3927
9.2856,-1.23218,0.567041,9.38414,15.3524
9.30234,-1.14844,0.660352,9.3962,15.3034
9.32866,-1.05273,0.748877,9.4177,15.2476
9.35019,-0.937891,0.863721,9.43673,15.1871
9.38848,-0.803906,0.973779,9.47301,15.1235
9.44351,-0.657959,1.08623,9.52852,15.0584
9.4794,-0.519189,1.18672,9.56749,14.9933
9.52246,-0.37085,1.29438,9.61718,14.9298
9.57031,-0.239258,1.39487,9.67439,14.8696
9.61338,-0.105273,1.48818,9.72845,14.8144
9.65644,0.014355,1.57671,9.78433,14.7655
9.7019,0.119629,1.65566,9.84289,14.724
9.7354,0.220117,1.72505,9.8895,14.6905
9.77129,0.303857,1.79204,9.93891,14.6655
9.81675,0.385205,1.85664,9.9982,14.6491
9.85503,0.461768,1.92603,10.0521,14.6415
9.8957,0.523975,1.97627,10.1047,14.642
