ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.42676,-3.096,-0.267969,9.92576,16.387
9.41001,-3.13189,-0.215332,9.91985,16.3679
9.39805,-3.17495,-0.174658,9.9214,16.3273
9.38848,-3.22519,-0.150732,9.92815,16.268
9.37891,-3.27544,-0.112451,9.93504,16.1933
9.36934,-3.31133,-0.090918,9.93769,16.1064
9.35977,-3.34482,-0.059814,9.93965,16.0104
9.34062,-3.39028,-0.043066,9.93696,15.9081
9.31431,-3.45728,-0.043066,9.93534,15.8017
9.30713,-3.51948,-0.050244,9.95047,15.6928
9.28799,-3.58887,-0.052637,9.95738,15.5827
9.25449,-3.66065,-0.055029,9.95233,15.4721
9.22578,-3.73481,-0.081348,9.95342,15.3613
9.17075,-3.79702,-0.110059,9.92634,15.2508
9.12529,-3.84966,-0.13877,9.90505,15.1408
9.0918,-3.90947,-0.179443,9.89833,15.0315
9.0583,-3.95493,-0.220117,9.88649,14.9236
9.02481,-3.998,-0.282324,9.87476,14.8177
8.98892,-4.05063,-0.346924,9.86553,14.7148
8.96738,-4.09849,-0.406738,9.86798,14.6165
8.94106,-4.14155,-0.47373,9.86506,14.5245
8.91714,-4.17266,-0.543115,9.86009,14.4413
8.92432,-4.17744,-0.600537,9.87193,14.3695
8.94106,-4.1583,-0.648389,9.88203,14.3119
8.96978,-4.12241,-0.6771,9.89493,14.2712
9.01523,-4.0626,-0.701025,9.91315,14.2494
9.07266,-3.97407,-0.720166,9.93101,14.248
9.16597,-3.84248,-0.736914,9.96608,14.2672
9.26646,-3.68696,-0.744092,10.0007,14.3068
9.37412,-3.52666,-0.744092,10.0432,14.3654
9.48179,-3.36636,-0.76084,10.0904,14.441
9.59185,-3.21323,-0.772803,10.1452,14.5313
9.72344,-3.03379,-0.782373,10.2157,14.6338
9.82871,-2.87588,-0.768018,10.2696,14.7464
9.93398,-2.78018,-0.782373,10.3453,14.8669
10.0058,-2.68926,-0.789551,10.3909,14.9934
10.0919,-2.61748,-0.791943,10.4558,15.1241
10.178,-2.56245,-0.801514,10.5262,15.2567
10.2187,-2.53613,-0.794336,10.5586,15.3887
10.2378,-2.5457,-0.803906,10.5802,15.5171
10.257,-2.56963,-0.815869,10.6054,15.6386
10.2666,-2.6103,-0.815869,10.6246,15.75
10.245,-2.66772,-0.830225,10.6192,15.8479
10.2043,-2.74429,-0.839795,10.6002,15.9296
10.1613,-2.83042,-0.84458,10.5819,15.9933
10.0919,-2.92612,-0.85415,10.5422,16.038
10.0201,-3.01704,-0.880469,10.5015,16.0639
9.9292,-3.12949,-0.913965,10.4507,16.0726
9.83828,-3.24912,-0.937891,10.4033,16.0662
9.71148,-3.37353,-0.980957,10.3274,16.0475
9.59185,-3.50991,-1.01206,10.2639,16.0191
9.46743,-3.64629,-1.04556,10.1991,15.9833
9.33584,-3.78984,-1.0647,10.1319,15.9415
9.22339,-3.90947,-1.07427,10.0752,15.8944
9.09897,-4.04585,-1.07905,10.0162,15.8422
8.98892,-4.17266,-1.07187,9.96798,15.7842
8.87646,-4.28271,-1.0647,9.91296,15.7196
8.77598,-4.3832,-1.02402,9.863,15.6474
8.68267,-4.47173,-0.995313,9.81711,15.5671
8.6085,-4.53633,-0.952246,9.77708,15.4787
8.57261,-4.55786,-0.897217,9.75032,15.3829
8.55347,-4.53394,-0.818262,9.71534,15.2808
8.58218,-4.45737,-0.712988,9.69692,15.1746
8.66592,-4.34492,-0.576611,9.71128,15.0665
8.78315,-4.18701,-0.447412,9.74038,14.9591
8.94106,-3.9956,-0.320605,9.79848,14.8551
9.11333,-3.78027,-0.184229,9.86799,14.757
9.29995,-3.55298,-0.069385,9.95578,14.6667
9.48418,-3.35918,0.035889,10.0616,14.586
9.67319,-3.14863,0.13877,10.1737,14.5158
9.8646,-2.95005,0.256006,10.2994,14.457
10.0608,-2.77539,0.366064,10.443,14.4099
10.2737,-2.61269,0.437842,10.6098,14.3747
10.4364,-2.45239,0.488086,10.7318,14.3516
10.5608,-2.31362,0.504834,10.8231,14.3406
10.6853,-2.21313,0.497656,10.9234,14.3416
10.7475,-2.14136,0.476123,10.969,14.3541
10.7642,-2.07915,0.449805,10.9724,14.3774
10.769,-2.02891,0.413916,10.9663,14.4106
10.7714,-2.06001,0.325391,10.9714,14.4522
10.7068,-2.09351,0.215332,10.9117,14.5007
10.6422,-2.15093,0.07417,10.8576,14.5539
10.568,-2.21313,-0.066992,10.7975,14.6092
10.4675,-2.27773,-0.198584,10.7143,14.6637
10.3431,-2.35908,-0.349316,10.6145,14.7146
10.2187,-2.46675,-0.504834,10.5243,14.7599
10.0608,-2.58159,-0.648389,10.4069,14.7989
9.90767,-2.72515,-0.791943,10.3061,14.8323
9.75215,-2.89023,-0.92832,10.2137,14.8629
9.58467,-3.06011,-1.03599,10.1145,14.8939
9.44351,-3.23477,-1.11255,10.044,14.9291
9.32627,-3.37593,-1.13408,9.9831,14.9716
9.19707,-3.51231,-1.12212,9.90866,15.0233
9.06787,-3.63672,-1.0647,9.8278,15.085
8.96738,-3.73481,-0.954639,9.76085,15.1555
8.88603,-3.79224,-0.827832,9.6968,15.2328
8.83101,-3.8042,-0.6771,9.63935,15.3138
8.81665,-3.79702,-0.509619,9.61303,15.3954
8.8023,-3.76831,-0.356494,9.58163,15.4752
8.78076,-3.7085,-0.181836,9.53351,15.5514
8.78794,-3.63672,-0.014355,9.51072,15.6234
8.81426,-3.56016,0.133984,9.50704,15.6915
8.84058,-3.4812,0.265576,9.505,15.7562
8.84058,-3.38071,0.37085,9.4722,15.818
8.86689,-3.28262,0.456982,9.46606,15.8771
8.90757,-3.1917,0.512012,9.47596,15.9329
8.93628,-3.1271,0.552686,9.48374,15.9843
8.95064,-3.06968,0.579004,9.48009,16.0296
8.96021,-3.04814,0.595752,9.48322,16.0672
8.96738,-3.04336,0.588574,9.48801,16.0949
8.96499,-3.07446,0.562256,9.49418,16.1112
8.95781,-3.12231,0.52876,9.5011,16.1145
8.96021,-3.19888,0.476123,9.52601,16.1038
8.95303,-3.28979,0.399561,9.54668,16.0787
8.94824,-3.40225,0.318213,9.5785,16.0393
8.95303,-3.52666,0.229688,9.62532,15.9864
8.95781,-3.65825,0.136377,9.67697,15.9212
8.9626,-3.78267,0.050244,9.72827,15.8454
8.97695,-3.92144,-0.028711,9.79613,15.7609
9.00088,-4.04824,-0.090918,9.86977,15.6698
9.03677,-4.1583,-0.133984,9.9485,15.5741
9.08223,-4.24443,-0.145947,10.0261,15.4759
9.13965,-4.32339,-0.141162,10.1116,15.3769
9.20664,-4.36885,-0.122021,10.1914,15.2788
9.29277,-4.3832,-0.102881,10.2751,15.1833
9.39087,-4.35449,-0.090918,10.3517,15.092
9.49375,-4.29946,-0.090918,10.4223,15.0064
9.60381,-4.20615,-0.095703,10.4849,14.9278
9.71148,-4.10566,-0.124414,10.5444,14.8572
9.81914,-3.98125,-0.160303,10.5968,14.795
9.89331,-3.85444,-0.215332,10.6198,14.7418
9.96987,-3.74678,-0.279932,10.6543,14.6976
10.0297,-3.64629,-0.349316,10.6776,14.663
10.0632,-3.56255,-0.435449,10.6841,14.6382
10.0943,-3.50513,-0.533545,10.6988,14.6238
10.1039,-3.44771,-0.641211,10.6951,14.6202
10.0967,-3.4166,-0.736914,10.6845,14.6273
10.0632,-3.37593,-0.837402,10.6473,14.6449
10.0297,-3.34722,-0.940283,10.6152,14.6721
9.97466,-3.32808,-1.0312,10.5657,14.7075
9.92202,-3.31611,-1.11255,10.5205,14.7494
9.86221,-3.31133,-1.16997,10.4689,14.796
9.80957,-3.30894,-1.22261,10.4246,14.8452
9.76172,-3.31372,-1.25371,10.3848,14.8955
9.71148,-3.30894,-1.26089,10.3369,14.9453
9.66841,-3.31133,-1.23457,10.294,14.9935
9.61816,-3.30894,-1.18193,10.2399,15.0392
9.57988,-3.29458,-1.10298,10.1904,15.0818
9.54878,-3.26348,-1.00967,10.1414,15.121
9.52964,-3.21323,-0.906787,10.0976,15.1569
9.51528,-3.1582,-0.808691,10.0583,15.1898
9.52007,-3.09121,-0.717773,10.0351,15.22
9.52007,-3.00508,-0.600537,10.0011,15.248
9.53921,-2.91894,-0.485693,9.98762,15.2739
9.55835,-2.83521,-0.38042,9.97723,15.2977
9.56553,-2.75386,-0.279932,9.95798,15.3188
9.57988,-2.68687,-0.179443,9.95116,15.3367
9.58706,-2.6438,-0.093311,9.94536,15.3505
9.58945,-2.62227,-0.028711,9.94157,15.3597
9.5751,-2.63184,0.035889,9.93027,15.3638
9.55835,-2.67251,0.078955,9.92525,15.3626
9.53682,-2.73472,0.105273,9.92173,15.3565
9.5105,-2.80649,0.131592,9.91682,15.3457
9.48418,-2.88545,0.145947,9.91447,15.3311
9.46504,-2.96919,0.143555,9.92087,15.3131
9.44829,-3.07686,0.136377,9.9376,15.2922
9.44111,-3.17734,0.129199,9.96227,15.2688
9.43154,-3.29458,0.117236,9.9911,15.243
9.43394,-3.40703,0.100488,10.0308,15.2146
9.43394,-3.50752,0.086133,10.0653,15.1838
9.44111,-3.60561,0.071777,10.1064,15.1507
9.45547,-3.66782,0.062207,10.1421,15.1158
9.48657,-3.70132,0.055029,10.1832,15.0798
9.52725,-3.71807,0.062207,10.2272,15.0437
9.59185,-3.69414,0.078955,10.2789,15.0089
9.68037,-3.6415,0.107666,10.3432,14.9768
9.7665,-3.55776,0.114844,10.395,14.9489
9.84546,-3.44771,0.117236,10.4323,14.9264
9.93877,-3.31372,0.095703,10.4771,14.9104
10.0177,-3.17256,0.07417,10.5084,14.9015
10.0823,-3.0625,0.052637,10.5373,14.8999
10.1302,-2.98833,0.023926,10.5618,14.9053
10.1637,-2.92852,-0.011963,10.5772,14.917
10.19,-2.87109,-0.052637,10.5869,14.9338
10.2187,-2.82324,-0.090918,10.6019,14.9542
10.2546,-2.77539,-0.110059,10.6241,14.9766
10.2689,-2.75625,-0.119629,10.6331,14.9996
10.2833,-2.72515,-0.102881,10.6388,15.0224
10.3,-2.71079,-0.076563,10.6511,15.0445
10.3024,-2.67729,-0.026318,10.6447,15.0657
10.2618,-2.60791,0.107666,10.5885,15.0862
10.2833,-2.51221,0.318213,10.5905,15.1064
10.3,-2.4189,0.526367,10.5934,15.1267
10.1469,-2.31602,0.734521,10.4338,15.1475
10.0105,-2.28252,0.846973,10.3023,15.1695
9.93638,-2.31362,0.861328,10.2385,15.1928
9.75454,-2.34233,0.794336,10.0632,15.2178
9.56553,-2.43804,0.653174,9.89292,15.2443
9.43154,-2.60791,0.466553,9.79657,15.2718
9.25689,-2.77539,0.267969,9.6677,15.2997
9.08462,-2.95483,0.07417,9.55337,15.3269
8.94585,-3.16299,-0.102881,9.48911,15.3525
8.78555,-3.35918,-0.272754,9.4098,15.376
8.62046,-3.52427,-0.418701,9.32245,15.3968
8.46733,-3.7085,-0.545508,9.25993,15.4147
8.30703,-3.90469,-0.657959,9.20251,15.4298
8.12041,-4.07695,-0.739307,9.11642,15.4422
7.95054,-4.21812,-0.823047,9.03775,15.4522
7.82134,-4.321,-0.868506,8.97767,15.4604
7.70889,-4.37842,-0.856543,8.9068,15.4672
7.63472,-4.40474,-0.799121,8.85038,15.4733
7.60361,-4.40234,-0.720166,8.81557,15.4793
7.6084,-4.36885,-0.629248,8.79605,15.4854
7.65146,-4.30185,-0.540723,8.7945,15.4917
7.73999,-4.21812,-0.449805,8.82623,15.4983
7.87876,-4.12481,-0.363672,8.90062,15.5051
8.05581,-4.03389,-0.263184,9.01319,15.5121
8.24722,-3.94058,-0.191406,9.14228,15.519
8.43862,-3.85205,-0.145947,9.27739,15.5257
8.66831,-3.76113,-0.112451,9.44978,15.5318
8.89321,-3.675,-0.095703,9.6231,15.5367
9.09897,-3.61997,-0.093311,9.79307,15.5398
9.30474,-3.58169,-0.100488,9.97079,15.5401
9.49854,-3.55776,-0.124414,10.1437,15.5368
9.66841,-3.51948,-0.174658,10.2905,15.529
9.84067,-3.49316,-0.229688,10.4448,15.5157
10.0249,-3.46206,-0.318213,10.6106,15.4962
10.1804,-3.44053,-0.430664,10.7547,15.4702
10.2881,-3.41899,-0.562256,10.8559,15.4379
10.4029,-3.40942,-0.674707,10.9682,15.4001
10.4915,-3.41899,-0.784766,11.0624,15.3579
10.5082,-3.43813,-0.849365,11.0889,15.3131
10.5154,-3.48838,-0.925928,11.1175,15.2668
10.5226,-3.5458,-0.995313,11.1484,15.2203
10.4938,-3.59605,-1.07666,11.145,15.174
10.4723,-3.63193,-1.15801,11.1446,15.1283
10.4627,-3.67021,-1.23935,11.1569,15.0835
10.434,-3.68218,-1.31592,11.1427,15.0398
10.4053,-3.67021,-1.37095,11.1185,14.9977
10.379,-3.66304,-1.41401,11.0969,14.9581
10.3575,-3.63672,-1.43794,11.0712,14.9221
10.3288,-3.60083,-1.4499,11.0341,14.8909
10.3024,-3.55298,-1.44033,10.9927,14.8657
10.2618,-3.50513,-1.40923,10.9351,14.8473
10.202,-3.44771,-1.34941,10.853,14.8362
10.1278,-3.40225,-1.29199,10.7618,14.8319
10.0584,-3.35918,-1.21782,10.6742,14.8338
9.99141,-3.31611,-1.15322,10.5903,14.8405
9.9292,-3.27544,-1.08144,10.5113,14.8505
9.86699,-3.23237,-1.00727,10.4317,14.8624
9.8,-3.18931,-0.91875,10.3468,14.8749
9.7354,-3.13667,-0.85415,10.2638,14.887
9.67559,-3.08882,-0.775195,10.1862,14.8978
9.62295,-3.03379,-0.722559,10.1157,14.9071
9.56074,-2.9979,-0.648389,10.0407,14.9147
9.50332,-2.98115,-0.588574,9.97731,14.921
9.44829,-2.98354,-0.521582,9.92188,14.9263
9.38608,-3.01465,-0.468945,9.86948,14.9309
9.32866,-3.06968,-0.411523,9.82935,14.9353
9.26406,-3.14146,-0.361279,9.78888,14.9395
9.20664,-3.21563,-0.303857,9.75678,14.9434
9.16357,-3.28501,-0.248828,9.73778,14.9469
9.13965,-3.33047,-0.198584,9.72958,14.9496
9.11811,-3.36157,-0.15791,9.71932,14.9508
9.11094,-3.37353,-0.110059,9.71607,14.9498
9.11333,-3.37832,-0.062207,9.71955,14.9458
9.12529,-3.37832,-0.00957,9.73058,14.9384
9.11333,-3.38311,0.055029,9.72117,14.9278
9.11094,-3.39985,0.129199,9.72548,14.9147
9.10137,-3.4166,0.172266,9.72305,14.9005
9.10615,-3.44292,0.220117,9.73777,14.8864
9.11572,-3.47402,0.24165,9.75826,14.8739
