ACX,ACY,ACZ,SumaCuadratica,FiltroGauss
9.48897,-3.3209,-0.102881,10.0538,15.4444
9.45547,-3.32808,-0.095703,10.0245,15.4355
9.41479,-3.34004,-0.086133,9.99008,15.4262
9.3813,-3.352,-0.078955,9.96248,15.4167
9.35259,-3.36396,-0.055029,9.93933,15.4073
9.3167,-3.37832,-0.045459,9.9104,15.3979
9.29038,-3.39507,-0.028711,9.89133,15.3884
9.26406,-3.41182,-0.00957,9.87236,15.3784
9.24492,-3.43335,-0.002393,9.86187,15.3676
9.22339,-3.46206,0.004785,9.85174,15.3554
9.20425,-3.48599,0.00957,9.84228,15.3414
9.19229,-3.51231,0.011963,9.84045,15.3252
9.17554,-3.53384,0.021533,9.83255,15.3065
9.16836,-3.55298,0.028711,9.83277,15.2852
9.16357,-3.56494,0.038281,9.83267,15.261
9.16597,-3.58408,0.043066,9.84187,15.2341
9.16597,-3.59126,0.050244,9.84452,15.2045
9.17554,-3.59844,0.052637,9.85606,15.1725
9.19229,-3.60322,0.069385,9.87351,15.1386
9.21621,-3.60322,0.076563,9.89584,15.1031
9.23535,-3.60561,0.088525,9.91464,15.0665
9.26406,-3.59844,0.090918,9.93881,15.0292
9.29517,-3.58887,0.098096,9.96442,14.9916
9.33105,-3.5793,0.098096,9.99448,14.9545
9.35977,-3.56494,0.086133,10.0161,14.9183
9.39326,-3.5458,0.081348,10.0406,14.8839
9.43633,-3.52905,0.078955,10.075,14.8518
9.48179,-3.5147,0.069385,10.1125,14.8228
9.51768,-3.49556,0.059814,10.1395,14.7975
9.55117,-3.47881,0.047852,10.1651,14.7766
9.57988,-3.46445,0.023926,10.1871,14.7605
9.6062,-3.45249,-0.00957,10.2078,14.7496
9.63252,-3.4501,-0.043066,10.2318,14.7437
9.66602,-3.43813,-0.059814,10.2594,14.7426
9.68994,-3.43096,-0.098096,10.2799,14.7458
9.70908,-3.41899,-0.129199,10.2943,14.753
9.71387,-3.41899,-0.160303,10.2992,14.7634
9.72344,-3.40942,-0.198584,10.3058,14.7768
9.73062,-3.40225,-0.215332,10.3105,14.7927
9.72583,-3.39268,-0.227295,10.3031,14.8107
9.71865,-3.38789,-0.236865,10.295,14.8306
9.70908,-3.38071,-0.24165,10.2837,14.8522
9.7043,-3.37353,-0.24165,10.2768,14.8752
9.69473,-3.37114,-0.236865,10.2669,14.8994
9.68516,-3.36636,-0.227295,10.256,14.9247
9.67319,-3.36157,-0.212939,10.2429,14.9512
9.65884,-3.36396,-0.210547,10.23,14.9787
9.64448,-3.36636,-0.189014,10.2169,15.0074
9.62773,-3.37353,-0.174658,10.2032,15.0372
9.60381,-3.37593,-0.153125,10.181,15.0679
9.58467,-3.37832,-0.131592,10.1635,15.0997
9.55356,-3.38789,-0.117236,10.1372,15.1325
9.52964,-3.39268,-0.105273,10.1161,15.1661
9.50332,-3.40464,-0.090918,10.0952,15.2003
9.48657,-3.41421,-0.071777,10.0825,15.2349
9.46265,-3.43096,-0.0646,10.0656,15.2692
9.44111,-3.43813,-0.052637,10.0478,15.3029
9.41719,-3.44771,-0.031104,10.0285,15.3355
9.39565,-3.46206,-0.016748,10.0132,15.3666
9.37651,-3.47642,-0.016748,10.0002,15.3961
9.35259,-3.49795,-0.019141,9.98533,15.4239
9.33105,-3.50991,-0.004785,9.96936,15.4498
9.30952,-3.52427,-0.007178,9.95428,15.4737
9.28799,-3.52905,-0.007178,9.93584,15.4951
9.27124,-3.54341,0.002393,9.9253,15.5137
9.24731,-3.55776,0,9.9081,15.5291
9.23535,-3.56494,0.004785,9.89952,15.5408
9.22578,-3.5769,0.016748,9.89493,15.5487
9.2186,-3.59365,0.021533,9.89431,15.5525
9.2186,-3.60561,0.031104,9.89869,15.5522
9.21143,-3.61519,0.031104,9.8955,15.5481
9.21143,-3.62954,0.028711,9.90075,15.5406
9.20903,-3.63433,0.045459,9.90034,15.5299
9.21621,-3.6439,0.050244,9.91055,15.5163
9.22817,-3.65107,0.0646,9.9244,15.4998
9.24253,-3.64629,0.076563,9.93608,15.4804
9.25449,-3.64868,0.088525,9.94818,15.458
9.27363,-3.64629,0.100488,9.96523,15.4328
9.29756,-3.6439,0.107666,9.9867,15.4052
9.31909,-3.63672,0.114844,10.0042,15.3757
9.34302,-3.62715,0.124414,10.0232,15.3451
9.37173,-3.6104,0.141162,10.0441,15.314
9.40283,-3.58887,0.13877,10.0654,15.283
9.43394,-3.56016,0.13877,10.0843,15.2526
9.47461,-3.53145,0.141162,10.1123,15.2232
9.50811,-3.50034,0.136377,10.1329,15.1948
9.53442,-3.47642,0.131592,10.1493,15.1677
9.56074,-3.45249,0.129199,10.1658,15.1419
9.58945,-3.42617,0.110059,10.1837,15.1173
9.61577,-3.39746,0.095703,10.1988,15.0938
9.63491,-3.36875,0.08374,10.2072,15.0711
9.65405,-3.33525,0.0646,10.2141,15.049
9.67798,-3.30415,0.062207,10.2267,15.0274
9.68994,-3.28023,0.050244,10.2302,15.0063
9.70669,-3.25869,0.043066,10.2392,14.986
9.72105,-3.24194,0.031104,10.2474,14.9669
9.72583,-3.23477,0.021533,10.2497,14.9496
9.73301,-3.22041,0,10.252,14.9345
9.73301,-3.21323,-0.002393,10.2497,14.9223
9.73301,-3.19888,-0.00957,10.2452,14.9133
9.73062,-3.18931,-0.007178,10.24,14.908
9.72344,-3.18452,-0.007178,10.2316,14.9064
9.71626,-3.17974,-0.00957,10.2233,14.9084
9.7043,-3.18452,-0.014355,10.2135,14.9139
9.68994,-3.17974,-0.011963,10.1983,14.9224
9.66602,-3.18691,-0.021533,10.1779,14.9334
9.6397,-3.19409,-0.014355,10.1551,14.9466
9.61338,-3.19888,-0.019141,10.1316,14.9612
9.59663,-3.20127,-0.019141,10.1165,14.977
9.57749,-3.20366,-0.033496,10.0992,14.9934
9.55596,-3.20845,-0.040674,10.0803,15.0103
9.53442,-3.21563,-0.038281,10.0622,15.0275
9.5105,-3.23237,-0.035889,10.0449,15.0449
9.48897,-3.23955,-0.040674,10.0268,15.0627
9.47222,-3.24912,-0.040674,10.0141,15.0807
9.45068,-3.25869,-0.035889,9.99679,15.099
9.43872,-3.26587,-0.033496,9.98782,15.1178
9.42915,-3.27065,-0.038281,9.98036,15.1369
9.42436,-3.27783,-0.021533,9.97814,15.1562
9.42676,-3.28501,-0.011963,9.98274,15.1757
9.42915,-3.29458,0.002393,9.98815,15.195
9.43154,-3.29697,0.004785,9.9912,15.2135
9.43154,-3.30654,0.021533,9.99438,15.2309
9.44111,-3.3209,0.031104,10.0082,15.2466
9.44829,-3.31851,0.043066,10.0142,15.2604
9.46982,-3.32329,0.052637,10.0362,15.2722
9.48657,-3.32568,0.0646,10.0528,15.282
9.50332,-3.32568,0.071777,10.0687,15.2903
9.52246,-3.32568,0.07417,10.0868,15.2971
